Count,Zipcode,Type,Owner Occ?,Purchase Down %,Purchase Amt,Amount Mortgaged,Mtg Tx Pd,Mansion Tax Pd,New Sales Tax Amount,Population,Median Age,Household Income,Median Gross Rent
1,11201,CND,0,20.0,1800000,1435000.0,27982.5,18000.0,16199.999999999998,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,2390000,0.0,0.0,23900.0,21510.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,30.0,965000,675500.0,13172.25,0.0,13510.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,30.0,4400000,3080000.0,60060.0,44000.0,39600.0,69755.0,35.1,163310.0,3110.0
1,11217,CND,0,0.0,1240000,1283888.0,25035.816,12400.0,11160.0,43045.0,35.8,152735.0,2651.0
1,11217,CND,0,20.0,990000,792000.0,15444.0,0.0,13860.0,43045.0,35.8,152735.0,2651.0
1,11201,CND,0,20.0,3025000,2420000.0,47190.0,30250.0,27224.999999999996,69755.0,35.1,163310.0,3110.0
1,11217,CND,0,25.0,1090000,817500.0,15941.25,10900.0,9810.0,43045.0,35.8,152735.0,2651.0
1,11217,CND,0,25.0,1225000,918750.0,17915.625,12250.0,11025.0,43045.0,35.8,152735.0,2651.0
1,11217,CND,0,100.0,1550000,0.0,0.0,15500.0,13949.999999999998,43045.0,35.8,152735.0,2651.0
1,11217,CND,0,15.0,1200000,1020000.0,19890.0,12000.0,10800.0,43045.0,35.8,152735.0,2651.0
1,11217,CND,0,25.0,2125000,1593750.0,31078.125,21250.0,19125.0,43045.0,35.8,152735.0,2651.0
1,11217,CND,0,100.0,1825000,0.0,0.0,18250.0,16425.0,43045.0,35.8,152735.0,2651.0
1,11217,SFR,0,100.0,8500000,0.0,0.0,85000.0,76500.0,43045.0,35.8,152735.0,2651.0
1,11201,CND,0,100.0,3100000,0.0,0.0,31000.0,27899.999999999996,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,4400000,0.0,0.0,44000.0,39600.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,3995000,2796500.0,54531.75,39950.0,35955.0,69755.0,35.1,163310.0,3110.0
1,11201,SFR,0,40.0,16750000,10050000.0,195975.0,167500.0,150750.0,69755.0,35.1,163310.0,3110.0
1,11201,SFR,0,100.0,8250000,0.0,0.0,82500.0,74250.0,69755.0,35.1,163310.0,3110.0
1,11201,SFR,0,35.0,3615000,2345000.0,45727.5,36150.0,32534.999999999996,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,2900000,200000.0,3599.9999999999995,29000.0,26099.999999999996,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,30.0,4200000,2940000.0,57330.0,42000.0,37800.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,77.0,4600000,1060905.0,20687.6475,46000.0,41400.0,69755.0,35.1,163310.0,3110.0
1,11201,SFR,0,35.0,6750000,4387500.0,85556.25,67500.0,60749.99999999999,69755.0,35.1,163310.0,3110.0
1,11201,SFR,0,100.0,7150000,0.0,0.0,71500.0,64349.99999999999,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,3400000,0.0,0.0,34000.0,30599.999999999996,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,20.0,2100000,1680000.0,32760.0,21000.0,18900.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,20.0,1225000,980000.0,19110.0,12250.0,11025.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,2200000,0.0,0.0,22000.0,19800.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,57.0,2325000,1000000.0,19500.0,23250.0,20925.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,20.0,1350000,1080000.0,21060.0,13500.0,12149.999999999998,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,1263000,937500.0,18281.25,12630.0,11367.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,61.0,615000,238879.0,4299.822,0.0,8610.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,70.0,1035500,307081.0,5527.458,10355.0,9319.5,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,30.0,1500000,1050000.0,20475.0,15000.0,13499.999999999998,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,20.0,1200000,960000.0,18720.0,12000.0,10800.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,59.0,2250000,920000.0,17940.0,22500.0,20250.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,650000,0.0,0.0,0.0,9100.0,69755.0,35.1,163310.0,3110.0
1,11201,SFR,0,100.0,3775000,0.0,0.0,37750.0,33975.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,1750000,0.0,0.0,17500.0,15749.999999999998,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,32.0,2505000,1705150.0,33250.425,25050.0,22545.0,69755.0,35.1,163310.0,3110.0
1,11201,SFR,0,71.0,6500000,1872882.0,36521.199,65000.0,58499.99999999999,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,25.0,490000,367500.0,6614.999999999999,0.0,6860.0,69755.0,35.1,163310.0,3110.0
