Type,Address,ZIP,Purchase Amt,Purchase Down %,1st Amount,2nd Amount,CLTV %,Purchase Date,Purchase Type,City,Owner Occ?,Listed for Sale?
CND,2 PARK PL 29B,10007,13500000,100,6625000,,48,3/8/2021,Market,NEW YORK,1,0
CND,2 PARK PL 33B,10007,5200000,100,3900000,,71,11/12/2021,Market,NEW YORK,1,0
CND,2 PARK PL 35A,10007,6500000,100,,,0,1/14/2021,Market,NEW YORK,1,0
CND,2 PARK PL 45A,10007,6500000,100,,,0,1/4/2023,Market,NEW YORK,1,0
CND,2 PARK PL 46B,10007,2999000,100,,,0,12/14/2021,Market,NEW YORK,1,0
CND,30 PARK PL 39H,10007,1755999,100,,,0,9/14/2023,Market,NEW YORK,1,0
CND,30 PARK PL 39E,10007,1043706,52,,,0,5/23/2017,Market,NEW YORK,0,0
CND,30 PARK PL 39C,10007,1650000,25,1237500,,73,2/12/2020,Market,NEW YORK,0,0
CND,30 PARK PL 39J,10007,2875000,100,,,0,8/9/2021,Market,NEW YORK,1,0
CND,30 PARK PL 39L,10007,1150000,100,,,0,4/27/2020,Market,NEW YORK,0,0
CND,30 PARK PL 39K,10007,1128000,100,,,0,3/31/2020,Market,NEW YORK,0,0
CND,30 PARK PL 41A,10007,4865000,100,,,0,8/3/2023,Market,NEW YORK,0,0
CND,30 PARK PL 51A,10007,5450000,42,3185000,,57,10/1/2020,Market,NEW YORK,1,0
CND,30 PARK PL 55C,10007,4250000,99,38620,,1,1/5/2022,Market,NEW YORK,1,0
CND,30 PARK PL 57A,10007,,,5000000,,105,,,NEW YORK,1,0
CND,30 PARK PL 56A,10007,6650000,20,3520000,1800000,78,9/15/2020,Market,NEW YORK,1,0
CND,30 PARK PL 58A,10007,7250000,100,4712500,,70,1/13/2022,Market,NEW YORK,1,0
CND,30 PARK PL 62A,10007,6940000,100,,,0,5/26/2021,Market,NEW YORK,1,0
CND,30 PARK PL 63C,10007,4500000,100,,,0,11/29/2022,Market,NEW YORK,1,0
CND,30 PARK PL 65A,10007,9300000,25,6975000,,63,8/14/2020,Market,NEW YORK,1,0
CND,30 PARK PL 68A,10007,11600000,25,8700000,,70,2/4/2022,Market,NEW YORK,1,0
CND,30 PARK PL 70A,10007,11600000,35,7540000,,61,11/21/2022,Market,NEW YORK,0,0
CND,30 PARK PL 71A,10007,11345000,100,,,0,7/9/2019,Market,NEW YORK,1,0
CND,30 PARK PL 77A,10007,17995000,100,,,0,3/28/2023,Market,NEW YORK,0,0
CND,30 PARK PL PH78A,10007,32000000,100,32000000,,222,9/24/2021,Market,NEW YORK,1,0
CND,30 PARK PL 76B,10007,11600000,100,,,0,4/19/2022,Market,NEW YORK,1,0
CND,30 PARK PL PH78B,10007,18439344,36,11862500,,64,7/29/2021,Market,NEW YORK,1,0
CND,275 GREENWICH ST 2MS,10007,1020000,30,714000,,70,4/12/2022,Market,NEW YORK,1,0
CND,275 GREENWICH ST 3FS,10007,975000,100,,,0,2/19/2020,Market,NEW YORK,0,0
CND,275 GREENWICH ST 4JS,10007,925000,100,647500,,65,10/15/2021,Market,NEW YORK,1,0
CND,275 GREENWICH ST 4MS,10007,1078000,100,,,0,7/25/2016,Market,NEW YORK,0,0
CND,275 GREENWICH ST 4KS,10007,2850000,100,,,0,12/16/2015,Market,NEW YORK,0,0
CND,275 GREENWICH ST 9DS,10007,1020000,100,,,0,9/20/2023,Market,NEW YORK,1,0
CND,275 GREENWICH ST 10DS,10007,1041000,100,,,0,1/5/2017,Market,NEW YORK,0,0
