Address,Count,Zipcode,Type,Owner Occ?,Purchase Amt,Amount Mortgaged,% Borrowed,Mtg Tx Pd,Mansion Tax Pd,New Sales Tax Amount,Population,Median Age,Household Income,Per Capita Income,Median Gross Rent,Poverty Count,Poverty Rate
57 READE ST 17C,1,10007,CND,0.0,1585000.0,0.0,0.0,0.0,15850.0,14264.999999999998,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
106 DUANE ST 3,1,10007,CND,0.0,2610000.0,2030000.0,77.77777777777779,39585.0,26100.0,23490.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
356 BROADWAY 5D,1,10013,CND,0.0,3000000.0,1750000.0,58.333333333333336,34125.0,30000.0,27000.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
354 BROADWAY 9,1,10013,CND,0.0,3975000.0,0.0,0.0,0.0,39750.0,35775.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
101 LEONARD ST 3D,1,10013,CND,0.0,2925000.0,0.0,0.0,0.0,29250.0,26325.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
101 LEONARD ST 7A,1,10013,CND,0.0,4310625.0,0.0,0.0,0.0,43106.25,38795.625,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
101 LEONARD ST 9A,1,10013,CND,0.0,2025000.0,0.0,0.0,0.0,20250.0,18225.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
101 LEONARD ST 8F,1,10013,CND,0.0,1960000.0,0.0,0.0,0.0,19600.0,17640.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
101 LEONARD ST 11F,1,10013,CND,0.0,1750000.0,0.0,0.0,0.0,17500.0,15749.999999999998,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
376 BROADWAY 5D,1,10013,CND,0.0,538000.0,349700.0,65.0,6294.599999999999,0.0,7532.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
376 BROADWAY 10G,1,10013,CND,0.0,720000.0,0.0,0.0,0.0,0.0,10080.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
77 WHITE ST 2,1,10013,CND,0.0,3300000.0,0.0,0.0,0.0,33000.0,29700.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
50 FRANKLIN ST 2A,1,10013,CND,0.0,970000.0,0.0,0.0,0.0,0.0,13580.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
50 FRANKLIN ST 2C,1,10013,CND,0.0,1950000.0,1560000.0,80.0,30420.0,19500.0,17550.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
50 FRANKLIN ST 3B,1,10013,CND,0.0,850000.0,515000.0,60.588235294117645,10042.5,0.0,11900.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
50 FRANKLIN ST 3E,1,10013,CND,0.0,988000.0,0.0,0.0,0.0,0.0,13832.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
50 FRANKLIN ST 9B,1,10013,CND,0.0,795000.0,0.0,0.0,0.0,0.0,11130.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
50 FRANKLIN ST 9D,1,10013,CND,0.0,1400000.0,1120000.0,80.0,21840.0,14000.0,12599.999999999998,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
50 FRANKLIN ST 14C,1,10013,CND,0.0,1562500.0,1093750.0,70.0,21328.125,15625.0,14062.499999999998,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
50 FRANKLIN ST 18B,1,10013,CND,0.0,1775000.0,0.0,0.0,0.0,17750.0,15974.999999999998,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
66 LEONARD ST 2E,1,10013,CND,0.0,3699500.0,3100000.0,83.79510744695229,60450.0,36995.0,33295.5,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
93 WORTH ST 411,1,10013,CND,0.0,1100000.0,0.0,0.0,0.0,11000.0,9900.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
93 WORTH ST PH3,1,10013,CND,0.0,8150000.0,3000000.0,36.809815950920246,58500.0,81500.0,73350.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
93 WORTH ST PH2,1,10013,CND,0.0,4215555.0,0.0,0.0,0.0,42155.55,37939.995,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
79 WORTH ST 2C,1,10013,CND,0.0,3165000.0,2373750.0,75.0,46288.125,31650.0,28485.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
87 LEONARD ST PHA,1,10013,CND,0.0,10500000.0,0.0,0.0,0.0,105000.0,94500.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
